Name,Status,Date,Country,"Journalist or Media Worker",Motive,"Type of Death","cpj.org URL"
"Abdul Manan Arghand",Killed,"April 25, 2018",Afghanistan,"Kabul News",Confirmed,Murder,https://cpj.org/data/people/abdul-manan-arghand/
"Abdul Nasser Haj Hamdan",Killed,"February 20, 2020",Syria,"Media Office in Binnish",Confirmed,Crossfire,https://cpj.org/data/people/abdul-nasser-haj-hamdan/
"Abdul Qadir Hajizai",Killed,"May 28, 2012",Pakistan,"WASH TV",Confirmed,Murder,https://cpj.org/data/people/abdul-qadir-hajizai/
"Abdul Qodus",Killed,"July 22, 2006",Afghanistan,"Aryana TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdul-qodus/
"Abdul Raheem Kour Hassan",Killed,"January 1, 2013",Syria,"Watan FM",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdul-raheem-kour-hassan/
"Abdul Rahman Bahr",Killed,"October 5, 2024","Israel and the Occupied Palestinian Territory","Palestine Breaking News",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdul-rahman-bahr/
"Abdul Rahman Ismael Yassin",Killed,"February 20, 2018",Syria,"Hammouriyeh Media Office",Confirmed,Crossfire,https://cpj.org/data/people/abdul-rahman-ismael-yassin/
"Abdul Rahman Saima",Killed,"March 14, 2024","Israel and the Occupied Palestinian Territory","Raqami TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdul-rahman-saima/
"Abdul Razzak Johra",Killed,"November 3, 2008",Pakistan,"Royal TV",Confirmed,Murder,https://cpj.org/data/people/abdul-razzak-johra/
"Abdul Salam Kanaan",Killed,"October 31, 2016",Syria,"Al-Jisr TV",Confirmed,Crossfire,https://cpj.org/data/people/abdul-salam-kanaan/
"Abdul Samad Rohani",Killed,"June 7, 2008",Afghanistan,"BBC and Pajhwok Afghan News",Confirmed,Murder,https://cpj.org/data/people/abdul-samad-rohani/
"Abdul Wahab",Killed,"December 6, 2010",Pakistan,"Express News",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdul-wahab/
"Abdul-Rahim Nasrallah al-Shimari",Killed,"October 12, 2006",Iraq,Al-Shaabiya,Confirmed,Murder,https://cpj.org/data/people/abdul-rahim-nasrallah-al-shimari/
"Abdulaziz al-Sheikh",Killed,"September 10, 2025",Yemen,"26 September, Yemen",Confirmed,Murder,https://cpj.org/data/people/abdulaziz-al-sheikh/
"Abdulhadi Habib",Killed,"October 16, 2023","Israel and the Occupied Palestinian Territory","Al-Manara News Agency,HQ media",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdulhadi-habib/
"Abdulkadir Ahmed",Killed,"December 5, 2014",Somalia,Freelance,Confirmed,Murder,https://cpj.org/data/people/abdulkadir-ahmed/
"Abdulkadir Mahad Moallim Kaskey",Killed,"August 24, 2007",Somalia,"Radio Banadir",Confirmed,Crossfire,https://cpj.org/data/people/abdulkadir-mahad-moallim-kaskey/
"Abdulkhafar Abdulkadir",Killed,"December 3, 2009",Somalia,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/abdulkhafar-abdulkadir/
"Abdullah al-Harazi",Killed,"September 10, 2025",Yemen,"26 September, Yemen",Confirmed,Murder,https://cpj.org/data/people/abdullah-al-harazi/
"Abdullah al-Qadry",Killed,"April 13, 2018",Yemen,"Belqees TV",Confirmed,Crossfire,https://cpj.org/data/people/abdullah-al-qadry/
"Abdullah Mahdi Abdullah al-Bahri",Killed,"September 10, 2025",Yemen,"Yemen News Agency (SABA)",Confirmed,Murder,https://cpj.org/data/people/abdullah-mahdi-abdullah-al-bahri/
"Abdullah Mire Hashi",Killed,"October 27, 2018",Somalia,"Darul Sunnah",Confirmed,Murder,https://cpj.org/data/people/abdullah-mire-hashi/
"Abdullah Mohammad Ghannam",Killed,"July 14, 2016",Syria,"Shahba Press Agency",Confirmed,Crossfire,https://cpj.org/data/people/abdullah-mohammad-ghannam/
"Abdullah Qabil",Killed,"May 21, 2015",Yemen,"Yemen Youth TV, Belqees TV",Confirmed,Crossfire,https://cpj.org/data/people/abdullah-qabil/
"Abdullahi Madkeer",Killed,"January 24, 2003",Somalia,"DMC Radio",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abdullahi-madkeer/
"Abdullahi Osman Moalim",Killed,"September 13, 2017",Somalia,"Jubbaland TV, Codka Hiraan",Confirmed,Murder,https://cpj.org/data/people/abdullahi-osman-moalim/
"Abdulmalik Akhmedilov",Killed,"August 11, 2009",Russia,"Hakikat and Sogratl",Confirmed,Murder,https://cpj.org/data/people/abdulmalik-akhmedilov/
"Abdulqawi Mohammed Saleh al-Asfour",Killed,"September 10, 2025",Yemen,"26 September",Confirmed,Murder,https://cpj.org/data/people/abdulqawi-mohammed-saleh-al-asfour/
"Abdulrahman Mohammed Mohammed Jaman",Killed,"September 10, 2025",Yemen,"26 September and Yemen newspapers",Confirmed,Murder,https://cpj.org/data/people/abdulrahman-mohammed-mohammed-jaman/
"Abdulrazak Hashim Ayal al-Khakani",Killed,"February 5, 2007",Iraq,"Jumhuriyat al-Iraq",Confirmed,Murder,https://cpj.org/data/people/abdulrazak-hashim-ayal-al-khakani/
"Abshir Ali Gabre",Killed,"May 16, 2007",Somalia,"Radio Jowhar",Confirmed,Crossfire,https://cpj.org/data/people/abshir-ali-gabre/
"Abu Taher Md Turab",Killed,"July 19, 2024",Bangladesh,"Daily Jalalabad, Daily Naya Diganta",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/abu-taher-md-turab/
"Abukar Hassan Mohamoud",Killed,"February 28, 2012",Somalia,"Somaliweyn Radio",Confirmed,Murder,https://cpj.org/data/people/abukar-hassan-mohamoud/
"Achyutananda Sahu",Killed,"October 30, 2018",India,Doordarshan,Confirmed,Crossfire,https://cpj.org/data/people/achyutananda-sahu/
"Adam Abu Harbid",Killed,"July 24, 2025","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm TV, Fact Media",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/adam-abu-harbid/
"Adam Juma",Killed,"January 25, 2015","South Sudan","Raja FM",Confirmed,Murder,https://cpj.org/data/people/adam-juma/
"Adam Ward",Killed,"August 26, 2015",USA,WDBJ7,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/adam-ward/
"Adeeb al-Janani",Killed,"December 30, 2020",Yemen,"Belqees TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/adeeb-al-janani/
"Adel Naji al-Mansouri",Killed,"July 29, 2006",Iraq,Al-Alam,Confirmed,Murder,https://cpj.org/data/people/adel-naji-al-mansouri/
"Adel Sayegh",Killed,"August 1, 2015",Iraq,"Salaheddin TV",Confirmed,Murder,https://cpj.org/data/people/adel-sayegh/
"Adel Zerrouk",Killed,"June 14, 2001",Algeria,Al-Rai,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/adel-zerrouk/
"Adel Zorob",Killed,"December 19, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/adel-zorob/
"Adham Hassouna",Killed,"December 1, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/adham-hassouna/
"Adlan Khasanov",Killed,"May 9, 2004",Russia,Reuters,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/adlan-khasanov/
"Adnan al-Bayati",Killed,"July 23, 2005",Iraq,TG3,Confirmed,Murder,https://cpj.org/data/people/adnan-al-bayati/
"Adnan al-Safi",Killed,"July 27, 2007",Iraq,Al-Anwar,Confirmed,Murder,https://cpj.org/data/people/adnan-al-safi/
"Adnan Khairallah",Killed,"February 23, 2006",Iraq,"Wasan Productions and Al-Arabiya",Confirmed,Murder,https://cpj.org/data/people/adnan-khairallah/
"Adrián Silva Moreno",Killed,"November 14, 2012",Mexico,Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/adrian-silva-moreno/
"Ahmad Hallak",Killed,"August 2, 2016",Syria,"Al-Buraq Media Institution",Confirmed,Crossfire,https://cpj.org/data/people/ahmad-hallak/
"Ahmad Jamal al Madhoun",Killed,"December 24, 2023","Israel and the Occupied Palestinian Territory",Al-Rai,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmad-jamal-al-madhoun/
"Ahmad Kareem",Killed,"August 25, 2003",Iraq,"Kurdistan TV",Confirmed,Crossfire,https://cpj.org/data/people/ahmad-kareem/
"Ahmad Mohamed Mahmoud",Killed,"February 4, 2011",Egypt,Al-Ta'awun,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmad-mohamed-mahmoud/
"Ahmad Omaid Khpalwak",Killed,"July 28, 2011",Afghanistan,"Pajhwok Afghan News, BBC",Confirmed,Crossfire,https://cpj.org/data/people/ahmad-omaid-khpalwak/
"Ahmad Qalaja",Killed,"June 6, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/ahmad-qalaja/
"Ahmad Sha'ban",Killed,"October 12, 2006",Iraq,Al-Shaabiya,Confirmed,Murder,https://cpj.org/data/people/ahmad-shaban/
"Ahmed Abdel Gawad",Killed,"August 14, 2013",Egypt,"Al-Akhbar, Misr25",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-abdel-gawad/
"Ahmed Abdul Samad",Killed,"January 10, 2020",Iraq,"Dijlah TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-abdul-samad/
"Ahmed Abu al-Hamza",Killed,"November 6, 2015",Syria,"SMART News Agency, Hama Media Center",Confirmed,Crossfire,https://cpj.org/data/people/ahmed-abu-al-hamza/
"Ahmed Abu Al-Rous",Killed,"January 15, 2025","Israel and the Occupied Palestinian Territory","Fourth Estate",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-abu-al-rous/
"Ahmed Abu Aziz",Killed,"August 25, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,Murder,https://cpj.org/data/people/ahmed-abu-aziz/
"Ahmed Abu Eisha",Killed,"July 10, 2025","Israel and the Occupied Palestinian Territory","Palestine Today TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-abu-eisha/
"Ahmed Abu Hussein",Killed,"April 25, 2018","Israel and the Occupied Palestinian Territory","Voice of the People Radio,Bisan News Agency",Confirmed,Murder,https://cpj.org/data/people/ahmed-abu-hussein/
"Ahmed Abu Mhadi",Killed,"October 25, 2023","Israel and the Occupied Palestinian Territory","Al-Aqsa TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-abu-mhadi/
"Ahmed Abu Sharia",Killed,"November 19, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-abu-sharia/
"Ahmed Abu Skheil",Killed,"November 9, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-abu-skheil/
"Ahmed Adam",Killed,"May 15, 2005",Iraq,Al-Mada,Confirmed,Murder,https://cpj.org/data/people/ahmed-adam/
"Ahmed Addow Anshur",Killed,"May 24, 2012",Somalia,"Shabelle Media Network",Confirmed,Murder,https://cpj.org/data/people/ahmed-addow-anshur/
"Ahmed Adnan al-Ashlaq",Killed,"May 27, 2012",Syria,"Shaam News Network",Confirmed,Crossfire,https://cpj.org/data/people/ahmed-adnan-al-ashlaq/
"Ahmed Al Shayyah",Killed,"January 15, 2025","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-al-shayyah/
"Ahmed al-Assam",Killed,"May 28, 2012",Syria,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/ahmed-al-assam/
"Ahmed Al-Helou",Killed,"May 15, 2025","Israel and the Occupied Palestinian Territory","Quds News Network",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-al-helou/
"Ahmed Al-Louh",Killed,"December 15, 2024","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-al-louh/
"Ahmed Al-Qara",Killed,"November 10, 2023","Israel and the Occupied Palestinian Territory",Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-al-qara/
"Ahmed al-Rubai'i",Killed,"April 1, 2005",Iraq,Al-Sabah,Confirmed,Murder,https://cpj.org/data/people/ahmed-al-rubaii/
"Ahmed al-Shaibani",Killed,"February 16, 2016",Yemen,"Yaman News, Yemen TV",Confirmed,Crossfire,https://cpj.org/data/people/ahmed-al-shaibani/
"Ahmed Assem el-Senousy",Killed,"July 8, 2013",Egypt,"Freedom and Justice",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-assem-el-senousy/
"Ahmed Azize",Killed,"August 10, 2018",Syria,"Aleppo News Network",Confirmed,Crossfire,https://cpj.org/data/people/ahmed-azize/
"Ahmed Bdeir",Killed,"January 10, 2024","Israel and the Occupied Palestinian Territory","Bawabat al-Hadaf",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-bdeir/
"Ahmed Farah Ilyas",Killed,"October 23, 2012",Somalia,"Universal TV",Confirmed,Murder,https://cpj.org/data/people/ahmed-farah-ilyas/
"Ahmed Hadi Naji",Killed,"January 5, 2007",Iraq,"Associated Press Television News",Confirmed,Murder,https://cpj.org/data/people/ahmed-hadi-naji/
"Ahmed Hasan Ahmed",Killed,"June 20, 2014",Syria,"Xinhua News Agency",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-hasan-ahmed/
"Ahmed Hassan Mahad",Killed,"May 16, 2007",Somalia,"Radio Jowhar",Confirmed,Crossfire,https://cpj.org/data/people/ahmed-hassan-mahad/
"Ahmed Hussein Al-Maliki",Killed,"November 7, 2005",Iraq,"Talafar al-Yawm",Confirmed,Murder,https://cpj.org/data/people/ahmed-hussein-al-maliki/
"Ahmed Hussein-Suale Divela",Killed,"January 16, 2019",Ghana,"Tiger Eye Private Investigations",Confirmed,Murder,https://cpj.org/data/people/ahmed-hussein-suale-divela/
"Ahmed Ismail Hassan",Killed,"March 31, 2012",Bahrain,Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-ismail-hassan/
"Ahmed Jabbar Hashim",Killed,"April 1, 2005",Iraq,Al-Sabah,Confirmed,Murder,https://cpj.org/data/people/ahmed-jabbar-hashim/
"Ahmed Khaireddine",Killed,"December 28, 2023","Israel and the Occupied Palestinian Territory","Al-Quds Al-Youm TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-khaireddine/
"Ahmed Mansour",Killed,"April 7, 2025","Israel and the Occupied Palestinian Territory","Palestine Today",Confirmed,Murder,https://cpj.org/data/people/ahmed-mansour/
"Ahmed Mohamed al-Mousa",Killed,"December 16, 2015",Syria,"Raqqa is Being Slaughtered Silently",Confirmed,Murder,https://cpj.org/data/people/ahmed-mohamed-al-mousa/
"Ahmed Mohamed Shukur",Killed,"September 30, 2022",Somalia,"Somali National TV",Confirmed,Crossfire,https://cpj.org/data/people/ahmed-mohamed-shukur/
"Ahmed Muhana al-Lami",Killed,"December 6, 2019",Iraq,Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-muhana-al-lami/
"Ahmed Rajib Haider",Killed,"February 15, 2013",Bangladesh,Freelance,Confirmed,Murder,https://cpj.org/data/people/ahmed-rajib-haider/
"Ahmed Rilwan Abdulla",Killed,"August 8, 2014",Maldives,"Minivan News",Confirmed,Murder,https://cpj.org/data/people/ahmed-rilwan-abdulla/
"Ahmed Riyadh al-Karbouli",Killed,"September 18, 2006",Iraq,"Baghdad TV",Confirmed,Murder,https://cpj.org/data/people/ahmed-riyadh-al-karbouli/
"Ahmed Salim",Killed,"September 13, 2008",Iraq,Al-Sharqiya,Confirmed,Murder,https://cpj.org/data/people/ahmed-salim/
"Ahmed Shawkat",Killed,"October 28, 2003",Iraq,"Bilah Ittijah",Confirmed,Murder,https://cpj.org/data/people/ahmed-shawkat/
"Ahmed Shehab",Killed,"October 12, 2023","Israel and the Occupied Palestinian Territory","Sowt Al-Asra Radio (Radio Voice of the Prisoners)",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ahmed-shehab/
"Ahmed Wael Bakri",Killed,"June 28, 2005",Iraq,Al-Sharqiyah,Confirmed,Crossfire,https://cpj.org/data/people/ahmed-wael-bakri/
"Ahmet Haceroğlu",Killed,"October 21, 2016",Iraq,"Türkmeneli TV",Confirmed,Crossfire,https://cpj.org/data/people/ahmet-haceroglu/
"Aiyathurai Nadesan",Killed,"May 31, 2004","Sri Lanka",Virakesari,Confirmed,Murder,https://cpj.org/data/people/aiyathurai-nadesan/
"Ajmal Naqshbandi",Killed,"April 8, 2007",Afghanistan,Freelance,Confirmed,Murder,https://cpj.org/data/people/ajmal-naqshbandi/
"Akhmednabi Akhmednabiyev",Killed,"July 9, 2013",Russia,"Novoye Delo",Confirmed,Murder,https://cpj.org/data/people/akhmednabi-akhmednabiyev/
"Akram ElShafie",Killed,"January 5, 2024","Israel and the Occupied Palestinian Territory",Safa,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/akram-elshafie/
"Al-Hosseiny Abou Deif",Killed,"December 12, 2012",Egypt,El-Fagr,Confirmed,Murder,https://cpj.org/data/people/al-hosseiny-abou-deif/
"Al-Moutaz Bellah Ibrahim",Killed,"May 4, 2014",Syria,"Shaam News Network",Confirmed,Murder,https://cpj.org/data/people/al-moutaz-bellah-ibrahim/
"Al-Shykh Al-Samany Saadaldyn Mousa Abdulla ‘Sheikho’",Killed,"May 18, 2025",Sudan,Freelance,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/al-shykh-al-samany-saadaldyn-mousa-abdulla-sheikho/
"Alaa Abdel-Wahab",Killed,"May 31, 2009",Iraq,"Al-Baghdadia TV",Confirmed,Crossfire,https://cpj.org/data/people/alaa-abdel-wahab/
"Alaa Abdul-Karim al-Fartoosi",Killed,"January 29, 2008",Iraq,Al-Forat,Confirmed,Crossfire,https://cpj.org/data/people/alaa-abdul-karim-al-fartoosi/
"Alaa Al-Hams",Killed,"February 12, 2024","Israel and the Occupied Palestinian Territory",SND,Confirmed,"Dangerous Assignment",https://cpj.org/data/people/alaa-al-hams/
"Alaa Edward Butros",Killed,"November 24, 2013",Iraq,Freelance,Confirmed,Murder,https://cpj.org/data/people/alaa-edward-butros/
"Alaa Kraym (Mohammed al-Qabouni)",Killed,"May 4, 2017",Syria,"Qaboun Media Center",Confirmed,Crossfire,https://cpj.org/data/people/alaa-kraym-mohammed-al-qabouni/
"Alaa Nayef al-Khader al-Khalidi",Killed,"July 12, 2019",Syria,"Douma Coordination Office",Confirmed,Unknown,https://cpj.org/data/people/alaa-nayef-al-khader-al-khalidi/
"Alaa Uldeen Aziz",Killed,"May 17, 2007",Iraq,"ABC News",Confirmed,Murder,https://cpj.org/data/people/alaa-uldeen-aziz/
"Alberto Graves Chakussanga",Killed,"September 5, 2010",Angola,"Radio Despertar",Confirmed,Murder,https://cpj.org/data/people/alberto-graves-chakussanga/
"Alberto Rivera Fernández",Killed,"April 12, 2004",Peru,"Frecuencia Oriental",Confirmed,Murder,https://cpj.org/data/people/alberto-rivera-fernandez/
"Albino Sibia (Mano Shottas)",Killed,"December 12, 2024",Mozambique,Freelance,Confirmed,Murder,https://cpj.org/data/people/albino-sibia-mano-shottas/
"Aleh Byabenin",Killed,"September 3, 2010",Belarus,"Charter 97",Confirmed,Murder,https://cpj.org/data/people/aleh-byabenin/
"Alejandro Reblando",Killed,"November 23, 2009",Philippines,"Manila Bulletin",Confirmed,Murder,https://cpj.org/data/people/alejandro-reblando/
"Alejandro Zenón Fonseca Estrada",Killed,"September 24, 2008",Mexico,"EXA FM",Confirmed,Murder,https://cpj.org/data/people/alejandro-zenon-fonseca-estrada/
"Aleksandr Rastorguyev",Killed,"July 30, 2018","Central African Republic","The Investigations Management Centre (TsUR)",Confirmed,Murder,https://cpj.org/data/people/aleksandr-rastorguyev/
"Aleksei Sidorov",Killed,"October 9, 2003",Russia,"Tolyatinskoye Obozreniye",Confirmed,Murder,https://cpj.org/data/people/aleksei-sidorov/
"Alexander Klimchuk",Killed,"August 10, 2008",Georgia,"Caucasus Images",Confirmed,Crossfire,https://cpj.org/data/people/alexander-klimchuk/
"Alfonso Margarito Martínez Esquivel",Killed,"January 17, 2022",Mexico,Freelance,Confirmed,Murder,https://cpj.org/data/people/alfonso-margarito-martinez-esquivel/
"Alfredo Antonio Hurtado Núñez",Killed,"April 25, 2011","El Salvador","Canal 33",Confirmed,Murder,https://cpj.org/data/people/alfredo-antonio-hurtado-nunez/
"Alfredo Cardoso Echeverría",Killed,"October 31, 2021",Mexico,"Las Dos Costas",Confirmed,Murder,https://cpj.org/data/people/alfredo-cardoso-echeverria/
"Alfrets Mirulewan",Killed,"December 17, 2010",Indonesia,"Pelangi Weekly",Confirmed,Murder,https://cpj.org/data/people/alfrets-mirulewan/
"AlHassan Hamad",Killed,"October 6, 2024","Israel and the Occupied Palestinian Territory","Freelance, Al Jazeera, Media Town TV",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/alhassan-hamad/
"Ali Abbas",Killed,"August 11, 2012",Syria,SANA,Confirmed,Murder,https://cpj.org/data/people/ali-abbas/
"Ali Abdel Aziz",Killed,"March 18, 2004",Iraq,Al-Arabiya,Confirmed,Crossfire,https://cpj.org/data/people/ali-abdel-aziz/
"Ali Ahmed Abdi",Killed,"March 4, 2012",Somalia,Freelance,Confirmed,Murder,https://cpj.org/data/people/ali-ahmed-abdi/
"Ali al-Khatib",Killed,"March 19, 2004",Iraq,Al-Arabiya,Confirmed,Crossfire,https://cpj.org/data/people/ali-al-khatib/
"Ali Hassan al-Jaber",Killed,"March 13, 2011",Libya,Al-Jazeera,Confirmed,Crossfire,https://cpj.org/data/people/ali-hassan-al-jaber/
"Ali Ibrahim Issa",Killed,"April 14, 2005",Iraq,Al-Hurriya,Confirmed,Crossfire,https://cpj.org/data/people/ali-ibrahim-issa/
"Ali Jaafar",Killed,"May 31, 2006",Iraq,Al-Iraqiya,Confirmed,Murder,https://cpj.org/data/people/ali-jaafar/
"Ali Mahmoud Othman",Killed,"December 30, 2013",Syria,Freelance,Confirmed,Unknown,https://cpj.org/data/people/ali-mahmoud-othman/
"Ali Mahmud",Killed,"July 13, 2016",Iraq,"Al-Ghadeer TV",Confirmed,Crossfire,https://cpj.org/data/people/ali-mahmud/
"Ali Mustafa",Killed,"March 9, 2014",Syria,Freelance,Confirmed,Crossfire,https://cpj.org/data/people/ali-mustafa/
"Ali Nur Siad",Killed,"October 14, 2017",Somalia,"Voice of America",Confirmed,"Dangerous Assignment",https://cpj.org/data/people/ali-nur-siad/
"Ali Risan",Killed,"October 22, 2016",Iraq,"Al-Sumaria TV",Confirmed,Crossfire,https://cpj.org/data/people/ali-risan/
"Ali Saleemi",Killed,"April 30, 2018",Afghanistan,"Mashal TV",Confirmed,Murder,https://cpj.org/data/people/ali-saleemi/
